relative_time,DecibelSource
0,10.928192969059019
40,11.514444136405363
80,11.90159672482479
120,10.941871546725832
160,13.354825269671064
201,9.981298701574179
241,10.025613614043532
280,10.851981680295527
321,12.091947527089834
361,10.88215216783471
401,11.980646082713866
441,10.481260678171935
481,12.211696337908695
521,13.945239894656789
563,11.481314656169827
602,11.745698591731417
661,13.219768752568443
701,12.1641039517906
742,10.07019636310046
781,10.37453178056653
821,11.397807295936815
862,13.71881813711501
903,12.433149339248114
941,11.332144634357393
980,10.623175199054247
1021,12.020398715588705
1061,10.334102912876057
1101,11.313379180334595
1141,11.923751470538493
1181,12.297783724482475
1221,10.250725961497096
1261,11.602132078494435
1302,9.858863731610214
1342,10.501820315811738
1381,12.30206501901199
1421,11.564768115668747
1461,11.21501954328869
1502,10.573765433920121
1541,12.27229419675587
1581,13.150632136223937
1621,10.004602245421433
1661,11.200338118551942
1701,11.361647483123562
1741,11.436106813902313
1781,12.231748111126468
1821,10.379420232656916
1862,11.4985117358156
1906,11.12842052663008
1961,10.473661472700172
2002,10.304831606169529
2041,11.801598094976145
2082,13.850414161475758
2121,10.592201441954144
2161,10.816783555774807
2201,10.410179798190542
2241,15.865358175520726
2281,19.3839238803675
2321,19.68930938007768
2361,18.686746083461756
2401,18.087699444923558
2441,16.903296003066203
2481,16.817761015066967
2521,20.933610929777068
2561,20.82494851551532
2601,18.265664623406145
2642,22.822864580269847
2680,21.34537460832618
2721,21.776202280392816
2762,21.28646599105106
2801,23.169865649660505
2841,23.717726885450965
2881,22.69647129070163
2922,20.332509332254332
2961,25.11235612347211
3001,26.04499065213465
3041,26.00033450313084
3081,26.79541452497693
3121,28.102265154314622
3161,26.793290179778776
3221,26.633901202050104
3261,25.825351216767373
3301,26.269026261818794
3341,27.17884481303235
3381,26.85512818199915
3421,27.653862041731983
3461,28.556563652927608
3501,28.957107442392264
3542,28.478259530870837
3581,28.310967017050185
3621,27.83920320359472
3661,22.53341521577283
3701,17.043937584529463
3741,18.81524122025566
3781,19.999903058185488
3821,17.638080688684063
3861,15.392847794168159
3902,12.803578097693203
3941,11.958934777963865
3981,9.16865017659558
4021,13.60313572924856
4061,10.554397683386147
4101,10.077344460647165
4140,10.879184121051512
4181,11.260581698680578
4221,11.79406868802943
4262,12.28376867701063
4302,11.897684514111596
4341,10.78372654337776
4381,10.559087919275651
4421,9.560697627702694
4462,12.782303160828775
4521,13.597740963151807
4561,12.11762165269038
4601,13.71881813711501
4641,10.725674450282355
4680,10.54478821336324
4721,12.540995553821414
4761,12.955793707679302
4802,11.515128091652105
4841,10.460167296324002
4881,9.363768369975737
4921,12.148615807465061
4961,12.731563495450866
5001,11.153207070661203
5041,10.323542965279815
5081,12.110919231247383
5121,12.409418478813707
5161,10.10558325278504
5201,10.412604731276023
5241,11.548680294039137
5282,9.29589963910886
5321,10.975687102117568
5362,10.979750540726272
5401,11.158778520840364
5441,11.277409579167266
5481,10.703059178098428
5521,11.368019331415162
5563,9.02119496125736
5601,10.231927290086828
5641,10.940115284053505
5681,12.596530630891088
5721,11.798395687413697
5781,11.70530184427141
5821,12.20148964738462
5861,12.16322040137001
5902,9.487414356812817
5942,11.046539819259795
5981,10.580131522452334
6021,12.543829713595072
6061,11.81278796193416
6101,9.922486836481072
6142,11.642001140752212
6181,10.494040743970563
6221,10.442693270561334
6261,10.591989977811968
6301,10.190142355806877
6341,14.053410232563424
6382,10.353582552641495
6421,12.723804077951621
6461,14.7172379930788
6501,12.87404291004437
6541,13.011996088205613
6581,11.312483561594123
6621,10.286039281147183
6661,11.220512307282725
6702,9.876353465138974
6741,10.971038512089548
6781,9.491230653032932
6821,10.564198769902593
6862,11.542738146998255
6901,12.041199826559248
6941,16.461541908120253
6982,18.565272769788102
7021,20.22311897803246
7081,17.7835316329904
7121,18.217488712329615
7161,19.593661820893296
7201,21.367594832251125
7241,21.35219640757517
7281,21.711156567631118
7321,20.223855604899114
7361,20.262536605709407
7401,21.42631052323614
7441,20.13577766052283
7483,18.091462046367525
7521,19.58257702817783
7561,18.5352235229777
7601,19.0265656689147
7641,21.74493649094598
7682,21.78883848532264
7721,25.036364317744713
7761,26.4669959007322
7801,26.92574495282928
7841,27.556983706776737
7881,27.34380532641805
7922,27.779229757598472
7962,27.688882254753647
8001,26.775529802615704
8041,27.87237437757659
8081,27.74762099563111
8121,27.84471618334898
8161,29.060360583669606
8201,28.73918121538624
8241,29.593589967467228
8281,29.693342539532157
8342,28.904568866384118
8381,28.37399940605069
8421,29.49135871338621
8461,27.706169900150478
8501,21.102420123241558
8541,22.54902087437778
8581,22.67843244057692
8622,18.448764046525174
8661,17.51615000883365
8702,12.292926483060139
8741,12.462391154023813
8781,9.930867095826377
8821,10.224108791530885
8861,10.16151589098428
8901,11.614181410988474
8941,11.943470636788486
8981,11.948115663598402
9021,11.68315270385537
9061,12.407330624911168
9100,9.941688188238146
9141,10.02754060012907
9181,10.235601718792324
9222,12.099576046358964
9261,11.955537388251134
9301,9.080000445324366
9341,11.951673489333443
9381,10.819794541187433
9423,11.864208775369008
9461,10.303701837213591
9501,12.157030510190513
9541,9.234475695959294
9581,9.581829919141231
9641,11.033760552572879
9681,10.416349693943015
9721,10.200105634229947
9761,12.530452451977311
9801,10.158479274878454
9841,12.413591177846303
9881,11.363949506893489
9921,12.642273477562325
9961,13.833103397154805
10001,13.15110140279767
10041,9.945371042984979
10082,9.556405119501472
10120,10.231697535037494
10161,10.362732410221934
10201,9.321758188924322
10241,10.549702376721191
